aurl,a,b,c,alpha,beta,gamma,density,enthalpy_formation_atom,spacegroup_relax,volume_cell,avg_en_dev,avg_mendeleev,p_fraction,group_std,num_unique_elements,num_constituent_atoms,egap
MCL/C1Cl4H5N1Si2_ICSD_410261,12.547274,7.9516169,10.829035,87.833844,90.0,90.0,1.40908,-0.656699,14,1079.65,0.6720,8.7692,0.5800,7.4944,5.0000,13.0000,4.9740
CUB/K7Li1Si8_ICSD_61216,12.557397,12.557397,12.557397,90.0,90.0,90.0,1.69501,-0.110488,205,1980.15,0.7200,15.5000,0.4000,6.7132,3.0000,16.0000,1.7006
ORCI/Cl9P1Te1_ICSD_21060,12.558936,12.558936,12.558936,119.3445,119.27506,91.199727,2.24219,-0.679956,46,1414.97,0.7067,20.0000,0.7027,0.6467,3.0000,11.0000,1.8015
RHL/Al2Mg1S4_ICSD_107308,12.564695,12.564695,12.564695,17.004454,17.004454,17.004454,2.31704,-1.16656,166,147.997,0.8467,14.5714,0.5625,5.1130,3.0000,7.0000,2.0099
TET/Br10O4Pb9_ICSD_35381,12.572284,12.572284,8.6703279,90.0,90.0,90.0,6.6105,-1.06374,85,1370.45,0.7400,48.6957,0.6462,1.4016,3.0000,23.0000,2.9192
CUB/C6Cl6H20N2Te1_ICSD_110200,12.565029,12.565029,12.565029,90.0,90.0,90.0,1.54206,-0.356922,205,1983.77,0.5920,6.4000,0.5098,7.3196,5.0000,35.0000,3.1530
CUB/Ge1P4Sr4_ICSD_32558,12.572966,12.572966,12.572966,90.0,90.0,90.0,3.65583,-0.997718,218,1987.53,0.8267,27.1111,0.4375,6.7536,3.0000,9.0000,1.0416
MCL/C2H4N4_ICSD_281051,12.606613,3.8508892,9.1393675,88.473284,90.0,90.0,1.25917,-0.0433103,14,443.528,0.5600,4.4000,0.5000,7.4967,3.0000,5.0000,4.7212
MCL/K4P2Se6_ICSD_409814,12.613639,8.9481433,14.044186,88.80742,90.0,90.0,2.9007,-0.844711,14,1584.8,1.1533,25.8333,0.6000,7.6267,3.0000,6.0000,1.8868
TRI/H40Ho6N8O49_ICSD_418822,12.615811,10.260742,10.099649,68.010751,59.052785,67.897335,3.1615,-1.25583,2,1011.57,1.2450,8.6408,0.5699,7.3118,4.0000,103.0000,3.0277
MCL/As2Ba2Se5_ICSD_60954,12.634441,9.5831356,10.276415,62.893659,90.0,90.0,4.91337,-1.04105,4,1107.58,1.1067,38.6667,0.5909,6.0622,3.0000,9.0000,1.0156
MCL/Al7S12Tl3_ICSD_72324,12.634709,9.2067385,9.735229,83.8947,90.0,90.0,3.50004,-0.994801,4,1126.02,0.6467,23.9091,0.5686,1.5289,3.0000,22.0000,2.7958
CUB/O2Si1_ICSD_170483,12.64016,12.64016,12.64016,90.0,90.0,90.0,2.37134,-2.32662,224,2019.56,1.5400,10.0000,0.6250,1.1547,2.0000,3.0000,1.9992
ORCI/Bi1P1S4_ICSD_1942,12.639643,12.639643,12.639643,127.12028,129.25903,76.330698,4.0371,-0.312344,73,1211.56,0.3733,27.0000,0.6471,0.5164,3.0000,6.0000,1.4836
MCL/H12Mg1N2O12_ICSD_80445,12.635552,6.2489604,6.7081041,86.631703,90.0,90.0,1.61048,-1.01298,14,528.751,1.2050,4.9630,0.5625,7.5325,4.0000,27.0000,3.5091
TET/Br9O4Pb8Tl1_ICSD_36007,12.643208,12.643208,8.3913123,90.0,90.0,90.0,6.54904,-1.07806,85,1341.36,1.0150,49.2727,0.6393,1.4712,4.0000,22.0000,2.8900
MCL/Br1H5O2_ICSD_34105,12.646391,4.2618234,6.9857586,79.268021,90.0,90.0,2.09976,-0.89877,14,369.924,0.8267,7.0000,0.5417,7.9418,3.0000,8.0000,4.3572
BCT/H4Mg1N2_ICSD_157494,12.646881,12.646881,12.646881,130.91743,130.91743,71.944297,1.32531,-0.539271,142,1129.66,1.1533,4.2857,0.3750,6.7436,3.0000,7.0000,3.0271
TET/Ba2F14Mg4Sr1_ICSD_423762,12.643775,12.643775,7.5847959,90.0,90.0,90.0,3.97407,-3.70858,136,1212.54,1.6050,15.4286,0.6250,7.2457,4.0000,21.0000,6.5791
TRI/B8H30Mg4_ICSD_165647,12.652264,7.9565262,7.9988016,90.324446,91.659236,126.84957,0.551792,-0.20873,1,643.813,0.5933,2.8095,0.1290,4.7904,3.0000,21.0000,5.7318
ORCF/O144Si72_ICSD_99040,12.666838,11.33151,11.216128,68.355922,56.253814,55.390264,1.63501,-2.8056,69,1098.41,1.5400,10.0000,0.6250,1.1547,2.0000,3.0000,5.6786
